iter	RMSE
0	185226476.3
1	180738250.9
2	177298425
3	173759906.2
4	170368849.3
5	167248339.7
6	164347732.3
7	161220389.2
8	158178178.8
9	155454593.8
10	152723238.8
11	149969135.8
12	147436560.1
13	145041011.7
14	142704157.4
15	140934009.6
16	138632871.4
17	136342657
18	134614410.6
19	132893476.4
20	131077309.3
21	129247021
22	127639607.1
23	126012761
24	124700474.7
25	123236437.7
26	121952011.1
27	120822972.6
28	119430270
29	118181188.7
30	116617266.5
31	115292770.3
32	114639401.9
33	113267950
34	112060024.8
35	111079423.9
36	109739043.1
37	108722682.9
38	107782054.6
39	106490567.5
40	105463449.8
41	104558040.6
42	103631659.5
43	103034144
44	102322177.7
45	101478118.1
46	100649610.6
47	99884641.29
48	99035184.04
49	98241145.16
50	97591291.65
51	96746472.52
52	96275475.91
53	95515945.66
54	94593037.13
55	93837915.58
56	93190211.53
57	92526078.03
58	91835096.26
59	91270110.97
60	90753578.22
61	90107580.45
62	89507760.62
63	88725331.78
64	88080546.96
65	87554379.44
66	86845824.72
67	86275552.75
68	85578702.93
69	85012004.55
70	84566941.66
71	83977096.49
72	83447758.32
73	82964659.03
74	82481725.99
75	82008335.07
76	81475973.41
77	80905712.68
78	80512161.82
79	79946446.65
80	79596730.42
81	79001292.94
82	78506046.61
83	78044561.44
84	77506873.78
85	77143689.84
86	76704945.75
87	76306591.31
88	75983440.76
89	75755819.02
90	75286628.12
91	74815165.32
92	74496553.03
93	74227904.22
94	73749870.62
95	73259480.46
96	72812282.47
97	72478914.03
98	72103287.17
99	71662226.9
100	71325599.93
101	70997261.81
102	70697626.46
103	70402028.92
104	70044246.68
105	69717109.67
106	69344480.58
107	68937517.05
108	68633104.52
109	68228063.8
110	67823441.21
111	67560347.49
112	67233280.98
113	66896237.2
114	66671062.9
115	66417482.17
116	66137434.56
117	65870929.99
118	65598736.04
119	65207940.5
120	64872169.89
121	64547730.82
122	64321160.24
123	63931992.2
124	63589513.04
125	63315885.9
126	63048797.54
127	62854272.51
128	62516970.2
129	62210139.17
130	61921239.43
131	61651807.05
132	61342300.57
133	61191673.24
134	60897096.94
135	60561471.5
136	60246889.72
137	60115473.44
138	59912794.26
139	59778966.84
140	59392888.61
141	59110826.93
142	58883645.14
143	58699840.13
144	58495346.73
145	58403697.6
146	58109124.48
147	57939220.04
148	57614379.76
149	57470412.95
150	57133062.73
151	56964805.4
152	56710878.31
153	56417984.72
154	56105603.06
155	55958198.86
156	55734389.03
157	55484725.09
158	55319893.64
159	55174491.16
160	54863874.74
161	54553081.38
162	54307340.04
163	54035303.17
164	53829845.99
165	53520031.71
166	53367798.1
167	53219586.38
168	52921152.67
169	52668247.88
170	52483503.09
171	52303439.46
172	52105683.93
173	51818299.36
174	51712337
175	51393763.3
176	51195883.97
177	50922326.27
178	50736183.57
179	50420628.41
180	50130508.65
181	49942671.49
182	49707453.84
183	49441619.27
184	49252205.95
185	49056493.17
186	48880463.73
187	48709331.73
188	48456948.64
189	48337878.32
190	48107863
191	47962823.39
192	47836385.89
193	47692384.93
194	47445638.45
195	47294698.89
196	47043707.17
197	46933971.36
198	46811736.22
199	46683211.89
200	46460519.69
201	46389993.77
202	46118173.98
203	45921812.92
204	45710331.02
205	45579151.12
206	45348852.31
207	45190590.39
208	44921803.63
209	44758064.58
210	44537739.17
211	44379081.09
212	44227813.26
213	44050427.3
214	43773511.17
215	43565607.21
216	43466872.26
217	43340544.09
218	43080206.94
219	42960707.92
220	42753165.91
221	42700718.08
222	42617142.05
223	42433245.59
224	42288733.3
225	42263435.37
226	42070618.72
227	41915668.81
228	41647444.74
229	41527990.38
230	41387786.64
231	41274153
232	41091415.06
233	40924558.69
234	40827533.13
235	40662389.42
236	40591039.97
237	40497077.05
238	40331432.52
239	40103333.07
240	40030332.43
241	39939213.26
242	39910372.61
243	39741861.92
244	39557967.41
245	39402985.65
246	39333870.29
247	39106188.7
248	39062247.15
249	38884518.3
250	38742410.81
251	38652338.14
252	38450002.35
253	38392657.8
254	38260232.95
255	38140998.47
256	38000541.6
257	37914749.52
258	37759801.21
259	37623663.6
260	37422859.95
261	37304464.41
262	37141183.18
263	36996658.74
264	36895223.63
265	36723980.67
266	36553176.65
267	36413757.08
268	36242826.78
269	36119546.41
270	35943112.06
271	35811834.06
272	35711721
273	35618256.06
274	35584617.38
275	35480522.05
276	35414778.99
277	35258869.22
278	35235434.89
279	35184017.18
280	35055065.95
281	34898376.29
282	34737282.05
283	34715155.36
