iter	Passed	Remaining
0	162	194873
1	184	110266
2	202	80894
3	220	65895
4	237	56759
5	254	50619
6	272	46401
7	289	43181
8	306	40620
9	327	38940
10	344	37241
11	368	36500
12	387	35407
13	408	34641
14	427	33782
15	448	33196
16	467	32549
17	487	31991
18	506	31489
19	525	31031
20	546	30672
21	565	30268
22	583	29871
23	607	29762
24	631	29694
25	651	29397
26	670	29144
27	690	28881
28	709	28629
29	728	28417
30	749	28253
31	769	28069
32	787	27855
33	805	27640
34	824	27443
35	846	27361
36	867	27257
37	886	27105
38	905	26959
39	923	26781
40	942	26642
41	962	26529
42	982	26429
43	1000	26291
44	1020	26196
45	1041	26116
46	1059	25994
47	1078	25879
48	1098	25795
49	1117	25694
50	1136	25596
51	1159	25592
52	1177	25492
53	1197	25408
54	1216	25316
55	1234	25213
56	1251	25102
57	1271	25027
58	1290	24963
59	1310	24891
60	1328	24810
61	1357	24921
62	1378	24873
63	1397	24806
64	1416	24726
65	1435	24661
66	1454	24598
67	1473	24532
68	1492	24457
69	1509	24373
70	1527	24296
71	1545	24217
72	1567	24201
73	1587	24162
74	1609	24136
75	1630	24107
76	1647	24031
77	1665	23950
78	1682	23871
79	1700	23804
80	1718	23740
81	1736	23669
82	1753	23599
83	1772	23550
84	1790	23482
85	1807	23417
86	1825	23352
87	1843	23292
88	1862	23247
89	1881	23207
90	1900	23161
91	1918	23100
92	1936	23049
93	1954	22994
94	1973	22959
95	1991	22899
96	2009	22846
97	2031	22845
98	2051	22810
99	2068	22755
100	2086	22708
101	2104	22650
102	2121	22595
103	2139	22542
104	2156	22489
105	2173	22430
106	2190	22378
107	2208	22328
108	2225	22273
109	2243	22227
110	2260	22180
111	2277	22126
112	2295	22077
113	2311	22023
114	2328	21970
115	2348	21950
116	2367	21916
117	2385	21877
118	2406	21856
119	2424	21823
120	2442	21776
121	2459	21729
122	2477	21692
123	2494	21644
124	2511	21599
125	2529	21564
126	2546	21516
127	2564	21480
128	2582	21442
129	2599	21398
130	2618	21364
131	2636	21333
132	2653	21290
133	2671	21249
134	2688	21209
135	2705	21165
136	2722	21125
137	2739	21085
138	2757	21052
139	2774	21005
140	2793	20982
141	2811	20947
142	2828	20907
143	2849	20895
144	2866	20859
145	2883	20819
146	2901	20781
147	2922	20773
148	2939	20735
149	2956	20695
150	2975	20667
151	2992	20631
152	3009	20595
153	3027	20562
154	3045	20532
155	3062	20492
156	3081	20469
157	3098	20432
158	3115	20396
159	3133	20369
160	3150	20332
161	3169	20306
162	3187	20276
163	3203	20239
164	3220	20203
165	3237	20168
166	3254	20132
167	3271	20095
168	3288	20062
169	3306	20032
170	3323	19998
171	3343	19982
172	3360	19949
173	3377	19918
174	3394	19884
175	3412	19853
176	3432	19836
177	3449	19803
178	3465	19767
179	3482	19734
180	3499	19703
181	3516	19670
182	3533	19636
183	3550	19602
184	3570	19587
185	3588	19560
186	3605	19531
187	3623	19503
188	3641	19478
189	3659	19453
190	3676	19424
191	3694	19397
192	3712	19372
193	3730	19344
194	3748	19320
195	3765	19290
196	3783	19260
197	3799	19229
198	3816	19197
199	3836	19181
200	3853	19152
201	3874	19142
202	3893	19121
203	3911	19095
204	3928	19067
205	3946	19041
206	3966	19026
207	3983	18998
208	4001	18971
209	4018	18942
210	4036	18921
211	4059	18919
212	4079	18901
213	4095	18870
214	4112	18841
215	4129	18811
216	4146	18783
217	4163	18753
218	4181	18732
219	4199	18705
220	4216	18677
221	4233	18649
222	4250	18623
223	4267	18592
224	4284	18566
225	4302	18541
226	4318	18510
227	4338	18494
228	4355	18469
229	4376	18455
230	4393	18427
231	4411	18408
232	4428	18379
233	4446	18354
234	4465	18338
235	4483	18312
236	4499	18283
237	4516	18256
238	4533	18229
239	4550	18202
240	4568	18179
241	4587	18158
242	4604	18131
243	4621	18108
244	4639	18085
245	4657	18063
246	4677	18047
247	4695	18025
248	4713	18001
249	4731	17978
250	4749	17955
251	4765	17928
252	4784	17909
253	4801	17884
254	4819	17860
255	4838	17840
256	4856	17820
257	4874	17797
258	4891	17771
259	4908	17746
260	4926	17722
261	4943	17697
262	4960	17674
263	4980	17656
264	4997	17633
265	5014	17608
266	5032	17585
267	5049	17561
268	5067	17539
269	5085	17516
270	5102	17492
271	5120	17468
272	5137	17443
273	5154	17419
274	5173	17400
275	5189	17374
276	5207	17351
277	5225	17332
278	5243	17309
279	5260	17284
280	5277	17259
281	5295	17237
282	5312	17213
283	5333	17201
284	5351	17182
285	5368	17155
286	5386	17134
287	5403	17110
288	5420	17087
289	5438	17065
290	5461	17060
291	5482	17048
292	5503	17036
293	5521	17013
294	5538	16990
295	5555	16967
296	5572	16943
297	5592	16926
298	5609	16903
299	5626	16880
300	5643	16856
301	5662	16836
302	5679	16813
303	5697	16792
304	5713	16767
305	5731	16745
306	5751	16729
307	5769	16708
308	5786	16684
309	5803	16661
310	5823	16646
311	5841	16625
312	5859	16605
313	5875	16579
314	5893	16557
315	5910	16535
316	5927	16512
317	5945	16490
318	5962	16467
319	5979	16444
320	5998	16424
321	6018	16409
322	6036	16389
323	6055	16371
324	6078	16364
325	6097	16346
326	6115	16325
327	6132	16304
328	6150	16282
329	6167	16260
330	6184	16237
331	6202	16216
332	6219	16193
333	6236	16170
334	6253	16147
335	6271	16126
336	6289	16107
337	6309	16091
338	6326	16068
339	6344	16048
340	6361	16025
341	6379	16004
342	6397	15984
343	6414	15961
344	6431	15937
345	6448	15916
346	6467	15898
347	6485	15877
348	6502	15854
349	6518	15831
350	6538	15815
351	6555	15793
352	6575	15777
353	6595	15761
354	6613	15742
355	6630	15718
356	6647	15696
357	6665	15677
358	6682	15654
359	6699	15632
360	6717	15611
361	6734	15589
362	6753	15571
363	6770	15550
364	6789	15532
365	6808	15515
366	6826	15494
367	6844	15473
368	6861	15451
369	6878	15429
370	6895	15409
371	6912	15386
372	6930	15365
373	6947	15342
374	6964	15321
375	6981	15299
376	6998	15277
377	7015	15255
378	7043	15257
379	7061	15237
380	7078	15215
381	7094	15192
382	7111	15170
383	7128	15148
384	7146	15127
385	7163	15106
386	7183	15090
387	7202	15072
388	7218	15050
389	7236	15028
390	7253	15008
391	7271	14987
392	7288	14965
393	7308	14951
394	7327	14933
395	7345	14913
396	7362	14892
397	7380	14872
398	7399	14854
399	7416	14832
400	7433	14811
401	7454	14798
402	7473	14779
403	7491	14759
404	7508	14738
405	7525	14717
406	7543	14697
407	7563	14681
408	7581	14662
409	7600	14644
410	7617	14622
411	7633	14600
412	7650	14578
413	7668	14559
414	7685	14538
415	7702	14516
416	7719	14494
417	7737	14475
418	7755	14456
419	7773	14436
420	7793	14420
421	7812	14402
422	7829	14381
423	7848	14364
424	7866	14345
425	7884	14324
426	7901	14303
427	7918	14282
428	7935	14260
429	7951	14238
430	7968	14218
431	7988	14200
432	8004	14179
433	8022	14159
434	8039	14139
435	8057	14118
436	8079	14105
437	8101	14094
438	8120	14076
439	8137	14055
440	8155	14035
441	8172	14014
442	8189	13994
443	8207	13975
444	8224	13953
445	8241	13932
446	8260	13915
447	8277	13894
448	8297	13877
449	8314	13858
450	8333	13840
451	8351	13820
452	8368	13800
453	8386	13780
454	8405	13762
455	8422	13741
456	8439	13720
457	8455	13699
458	8472	13678
459	8489	13657
460	8507	13637
461	8524	13616
462	8542	13598
463	8560	13578
464	8577	13557
465	8598	13543
466	8619	13529
467	8638	13511
468	8657	13494
469	8675	13474
470	8693	13454
471	8709	13433
472	8726	13412
473	8743	13392
474	8761	13373
475	8779	13353
476	8800	13338
477	8818	13320
478	8837	13301
479	8853	13280
480	8870	13259
481	8887	13239
482	8906	13221
483	8923	13200
484	8941	13182
485	8959	13162
486	8976	13142
487	8994	13122
488	9012	13103
489	9029	13083
490	9047	13064
491	9065	13044
492	9083	13026
493	9102	13008
494	9120	12989
495	9137	12969
496	9158	12955
497	9176	12936
498	9195	12917
499	9212	12897
500	9229	12877
501	9247	12857
502	9264	12837
503	9282	12819
504	9302	12802
505	9320	12783
506	9337	12763
507	9355	12743
508	9372	12723
509	9390	12704
510	9407	12684
511	9424	12664
512	9442	12645
513	9460	12626
514	9477	12606
515	9495	12586
516	9512	12567
517	9529	12546
518	9546	12525
519	9563	12506
520	9581	12486
521	9602	12472
522	9622	12456
523	9640	12436
524	9657	12416
525	9674	12396
526	9691	12376
527	9708	12356
528	9726	12336
529	9744	12318
530	9762	12299
531	9781	12282
532	9799	12262
533	9816	12243
534	9833	12223
535	9838	12188
536	9855	12168
537	9873	12149
538	9890	12129
539	9907	12108
540	9924	12088
541	9941	12068
542	9959	12050
543	9976	12030
544	9995	12013
545	10012	11992
546	10030	11973
547	10047	11953
548	10064	11933
549	10081	11914
550	10098	11894
551	10116	11875
552	10141	11865
553	10161	11849
554	10178	11829
555	10196	11810
556	10213	11790
557	10231	11771
558	10248	11752
559	10269	11736
560	10287	11717
561	10305	11699
562	10322	11679
563	10339	11659
564	10357	11640
565	10374	11621
566	10392	11602
567	10410	11583
568	10427	11563
569	10444	11544
570	10461	11523
571	10478	11504
572	10496	11485
573	10513	11465
574	10531	11446
575	10548	11427
576	10565	11407
577	10582	11388
578	10601	11370
579	10618	11351
580	10637	11333
581	10658	11317
582	10676	11298
583	10693	11278
584	10709	11259
585	10727	11239
586	10744	11220
587	10765	11204
588	10782	11185
589	10801	11167
590	10818	11147
591	10835	11128
592	10852	11108
593	10869	11089
594	10886	11069
595	10904	11050
596	10921	11031
597	10939	11012
598	10956	10992
599	10973	10973
600	10990	10954
601	11009	10936
602	11029	10920
603	11049	10903
604	11066	10883
605	11084	10865
606	11102	10846
607	11119	10827
608	11136	10807
609	11155	10790
610	11174	10771
611	11190	10752
612	11208	10733
613	11225	10713
614	11242	10693
615	11260	10675
616	11278	10657
617	11297	10639
618	11315	10620
619	11332	10601
620	11349	10581
621	11368	10564
622	11385	10544
623	11402	10525
624	11420	10506
625	11437	10487
626	11455	10469
627	11472	10449
628	11489	10429
629	11506	10410
630	11525	10393
631	11549	10379
632	11566	10360
633	11583	10341
634	11601	10322
635	11620	10304
636	11637	10285
637	11655	10267
638	11675	10250
639	11693	10231
640	11710	10212
641	11727	10193
642	11744	10173
643	11766	10158
644	11784	10139
645	11800	10119
646	11820	10103
647	11837	10083
648	11853	10063
649	11870	10044
